x     rho     p     u
0 1 1 0
0.001 1 1 0
0.002 1 1 0
0.003 1 1 0
0.004 1 1 0
0.005 1 1 0
0.006 1 1 0
0.007 1 1 0
0.008 1 1 0
0.009 1 1 0
0.01 1 1 0
0.011 1 1 0
0.012 1 1 0
0.013 1 1 0
0.014 1 1 0
0.015 1 1 0
0.016 1 1 0
0.017 1 1 0
0.018 1 1 0
0.019 1 1 0
0.02 1 1 0
0.021 1 1 0
0.022 1 1 0
0.023 1 1 0
0.024 1 1 0
0.025 1 1 0
0.026 1 1 0
0.027 1 1 0
0.028 1 1 0
0.029 1 1 0
0.03 1 1 0
0.031 1 1 0
0.032 1 1 0
0.033 1 1 0
0.034 1 1 0
0.035 1 1 0
0.036 1 1 0
0.037 1 1 0
0.038 1 1 0
0.039 1 1 0
0.04 1 1 0
0.041 1 1 0
0.042 1 1 0
0.043 1 1 0
0.044 1 1 0
0.045 1 1 0
0.046 1 1 0
0.047 1 1 0
0.048 1 1 0
0.049 1 1 0
0.05 1 1 0
0.051 1 1 0
0.052 1 1 0
0.053 1 1 0
0.054 1 1 0
0.055 1 1 0
0.056 1 1 0
0.057 1 1 0
0.058 1 1 0
0.059 1 1 0
0.06 1 1 0
0.061 1 1 0
0.062 1 1 0
0.063 1 1 0
0.064 1 1 0
0.065 1 1 0
0.066 1 1 0
0.067 1 1 0
0.068 1 1 0
0.069 1 1 0
0.07 1 1 0
0.071 1 1 0
0.072 1 1 0
0.073 1 1 0
0.074 1 1 0
0.075 1 1 0
0.076 1 1 0
0.077 1 1 0
0.078 1 1 0
0.079 1 1 0
0.08 1 1 0
0.081 1 1 0
0.082 1 1 0
0.083 1 1 0
0.084 1 1 0
0.085 1 1 0
0.086 1 1 0
0.087 1 1 0
0.088 1 1 0
0.089 1 1 0
0.09 1 1 0
0.091 1 1 0
0.092 1 1 0
0.093 1 1 0
0.094 1 1 0
0.095 1 1 0
0.096 1 1 0
0.097 1 1 0
0.098 1 1 0
0.099 1 1 0
0.1 1 1 0
0.101 1 1 0
0.102 1 1 0
0.103 1 1 0
0.104 1 1 0
0.105 1 1 0
0.106 1 1 0
0.107 1 1 0
0.108 1 1 0
0.109 1 1 0
0.11 1 1 0
0.111 1 1 0
0.112 1 1 0
0.113 1 1 0
0.114 1 1 0
0.115 1 1 0
0.116 1 1 0
0.117 1 1 0
0.118 1 1 0
0.119 1 1 0
0.12 1 1 0
0.121 1 1 0
0.122 1 1 0
0.123 1 1 0
0.124 1 1 0
0.125 1 1 0
0.126 1 1 0
0.127 1 1 0
0.128 1 1 0
0.129 1 1 0
0.13 1 1 0
0.131 1 1 0
0.132 1 1 0
0.133 1 1 0
0.134 1 1 0
0.135 1 1 0
0.136 1 1 0
0.137 1 1 0
0.138 1 1 0
0.139 1 1 0
0.14 1 1 0
0.141 1 1 0
0.142 1 1 0
0.143 1 1 0
0.144 1 1 0
0.145 1 1 0
0.146 1 1 0
0.147 1 1 0
0.148 1 1 0
0.149 1 1 0
0.15 1 1 0
0.151 1 1 0
0.152 1 1 0
0.153 1 1 0
0.154 1 1 0
0.155 1 1 0
0.156 1 1 0
0.157 1 1 0
0.158 1 1 0
0.159 1 1 0
0.16 1 1 0
0.161 1 1 0
0.162 1 1 0
0.163 1 1 0
0.164 1 1 0
0.165 1 1 0
0.166 1 1 0
0.167 1 1 0
0.168 1 1 0
0.169 1 1 0
0.17 1 1 0
0.171 1 1 0
0.172 1 1 0
0.173 1 1 0
0.174 1 1 0
0.175 1 1 0
0.176 1 1 0
0.177 1 1 0
0.178 1 1 0
0.179 1 1 0
0.18 1 1 0
0.181 1 1 0
0.182 1 1 0
0.183 1 1 0
0.184 1 1 0
0.185 1 1 0
0.186 1 1 0
0.187 1 1 0
0.188 1 1 0
0.189 1 1 0
0.19 1 1 0
0.191 1 1 0
0.192 1 1 0
0.193 1 1 0
0.194 1 1 0
0.195 1 1 0
0.196 1 1 0
